propertyCode;properties.name;properties.name_distancia
104252384;Escola Santa Dorotea. Salesianes Sarrià;391.2531527497016
82383309;Escola Ángel Baixeiras;446.705085462203
104950919;Institut Escola Elisabets;153.25862329408687
100587294;Mare del Diví Pastor;139.12846344667048
94915382;Jesuïtes Casp - Sagrat Cor de Jesús;62.50886866357641
105431273;Escola Ángel Baixeiras;178.3824748813665
96906881;Institut Escola Elisabets;303.06373073374164
104635725;Escola Pia Sant Antoni;20.131116138563858
97800187;Escola Institut Mirades;302.3292918688933
105462512;Escola Pia Sant Miquel;291.24319144160665
102594570;Institució Cultural del CIC;195.80482054521244
104022336;La Salle Comtal;53.234187875851774
103432919;Escola Joaquim Ruyra;492.890789484847
104627267;Institut Fort Pius;284.1921857207231
104757452;Escola Entença;140.06332464191763
103806164;Escola Drassanes;166.21591661665803
104974200;Institut de Nàutica de Barcelona;253.6484669673093
105672649;Col·legi Lestonnac;135.25268996203954
105324023;Institut Front Marítim;394.7650664224897
105559224;Institució Cultural del CIC;231.57694279798994
105201803;ISC;88.0241885738486
103738620;St. Nicholas School;244.31226287134382
105265654;Escola Augusta;155.2918019772933
105647593;Institut Verdaguer;179.89300635097288
105515026;Escola Mary Ward;53.73393974240967
102312407;Santa Teresa - Ganduxer;460.9491103396852
97693667;Col·legi Jesús i Maria;151.67397711033297
105701066;Som-hi dansa;197.28117549940364
102603161;Escola Augusta;238.55013535552865
103776691;Escola Palcam;69.44811308493306
103359267;Kensington School;217.0061304797476
102913758;Jesuïtes Casp - Sagrat Cor de Jesús;80.88912697383242
104550849;Institució Cultural del CIC;260.08381185378903
105141580;Escola Sants Innocents;71.42970464679831
104537707;Escola Patronat Domenech;52.525039827596586
104904674;Institut Menéndez y Pelayo;246.9606715174594
89005247;Lycée Français de Barcelone;517.4562037964587
101491602;Magic Mirror Center;382.3748787935014
105909607;Institut Lluïsa Cura;204.80893022105772
105230662;Escola Augusta;285.76791393229337
